,category,ticker,quality
0,increasing,ARLP,1.1924707773737895
1,increasing,HWKN,0.9103643411272033
2,increasing,ACGL,0.8638610097939684
3,increasing,COKE,0.8397224030898667
4,increasing,COST,0.8161754561404643
5,increasing,DMLP,0.8151045457803004
6,increasing,CLMB,0.7775178834667298
7,increasing,CTAS,0.7529213836471859
8,increasing,IDCC,0.73802285037762
9,increasing,BBSI,0.6842474207655944
10,increasing,CRVL,0.6420161025734894
11,increasing,CALM,0.6199362177502723
12,increasing,CASY,0.6102452180246574
13,increasing,FLEX,0.5978750959403044
14,increasing,AXON,0.5701781385424001
15,decreasing,FORR,0.7293445284851492
16,decreasing,MTCH,0.7221815325818308
17,decreasing,JOUT,0.6292213613346774
18,decreasing,ILMN,0.5690632921353715
19,decreasing,IART,0.5110479625235356
20,decreasing,MLCI,0.5055583975525878
21,decreasing,AUDC,0.47828972841590817
22,decreasing,IEP,0.38431019546021217
23,decreasing,IAC,0.34205418671333876
24,decreasing,MKTX,0.27317190969427324
25,decreasing,HTLD,0.2510951521951843
26,decreasing,JACK,0.23876542982944532
27,decreasing,KVHI,0.22374654457000265
28,decreasing,MNRO,0.20758767699456682
29,decreasing,MLAB,0.2070721278227583
30,one_spike,IMCV,46.89722498689761
31,one_spike,AEP,44.3426104152447
32,one_spike,CME,43.1664118967868
33,one_spike,EXC,42.8609453086851
34,one_spike,CSCO,41.22880076002822
35,one_spike,EBMT,38.16673134828594
36,one_spike,IMKTA,37.01448400191361
37,one_spike,FNWD,36.61743951765989
38,one_spike,INVA,35.27558485049167
39,one_spike,MSEX,33.72666478383729
40,one_spike,EBAY,32.713356804876284
41,one_spike,ERIC,32.05565956873311
42,one_spike,FCAP,31.96698554010158
43,one_spike,AMZN,31.014825244630043
44,one_spike,HIFS,30.964933822593142
45,two_spikes,CHSCP,55.429782022430736
46,two_spikes,EFSI,48.31943612925078
47,two_spikes,EVRG,44.58341210858817
48,two_spikes,DOX,44.18677996699774
49,two_spikes,CSQ,43.77135993845616
50,two_spikes,LNT,43.71706182399395
51,two_spikes,DGICA,40.879647282988316
52,two_spikes,AZN,39.93787256508603
53,two_spikes,BCPC,39.16625147409724
54,two_spikes,CRWS,38.98690915731729
55,two_spikes,AVBH,38.81527934332221
56,two_spikes,JBSS,38.34223260543335
57,two_spikes,FRAF,38.11564980762406
58,two_spikes,BFIN,37.85701549285589
59,two_spikes,CMCSA,37.77054022716098
60,stagnant,IEF,1.5139088370864353
61,stagnant,KMB,0.8253145277995835
62,stagnant,MDLZ,0.824680626551929
63,stagnant,FUND,0.8112788676828544
64,stagnant,CHY,0.7687311301726606
65,stagnant,CHI,0.7322581075408129
66,stagnant,HON,0.6279262559580658
67,stagnant,BANFP,0.612039837257196
68,stagnant,BBH,0.6038756549633613
69,stagnant,IJT,0.6005182263030222
70,stagnant,IBB,0.5822960953307907
71,stagnant,JSM,0.5742351701739766
72,stagnant,CPB,0.572693145561491
73,stagnant,JKHY,0.5234859318715199
74,stagnant,CSX,0.5093612263991008
